KEY,English,SChinese,TChinese,Japanese
Language,English,SChinese,TChinese,Japanese
LKStartGame,Tap to Start,点击开始,点击开始,Tap to Start
LKTitle,Constellation          Painter,星座画家,星座畫家,星座画家
LKAquariusTitle,Aquarius,水瓶座,水瓶座,みずがめ座
LKAquariusLatin,Water Bearer,Aquarius,Aquarius,Aquarius
LKAquariusInfo,"In Greek mythology, Aquarius is identified with beautiful Ganymede, a youth in Greek mythology and the son of Trojan king Tros, who was taken to Mount Olympus by Zeus to act as cup-carrier to the gods.Neighboring Aquila represents the eagle, under Zeus' command, that snatched the young boy.",水瓶座的形象是一个持着瓶子斟酒的美少年，少年名叫伽倪墨得斯，据说是特洛伊的王子。有一天，伽倪墨得斯正在替父亲放羊，宙斯从天空经过，对他一见钟情，于是变身成为一只老鹰将伽倪墨得斯掳到奥林匹斯山，少年从此成为了宙斯身旁的倒酒僮。\n也有说法称宝瓶座为雅典创立者刻克罗普斯（Cecrops），他曾以水对诸神作出献祭。,水瓶座的形象是一個持著瓶子斟酒的美少年，少年名叫伽倪墨得斯，據說是特洛伊的王子。有一天，伽倪墨得斯正在替父親放羊，宙斯在天空經過，對他一見鐘情，於是變身成為一只老鷹將伽倪墨得斯擄到奧林匹斯山，少年從此成為了宙斯身旁的倒酒童。\n也有說法稱寶瓶座為雅典創立者刻克羅普斯（Cecrops），他曾以水對諸神作出獻祭。,メソポタミアではアッカドの英雄とエンキが結びついたグラ（Gulla、偉大なるもの）が原型と考えられている。ギリシア神話では、ガニュメーデース（わし座を参照）の持つ水がめであるとされる。星図には、水を流す水がめとそれを持つ男性の姿として描かれ、流れ出した水はみなみのうお座の口に注ぎ込んでいる。
LKAriesTitle,Aries,白羊座,白羊座,おひつじ座
LKAriesLatin,the Ram,Aries,Aries,Aries
LKAriesInfo,"Aries is associated with the golden ram of Greek mythology that rescued Phrixos and Helle on orders from Hermes, taking him to the land of Colchis. After arriving, Phrixos sacrificed the ram to Zeus and gave the Fleece to Ae?tes of Colchis. Phrixos and Helle were the son and daughter of King Athamas and his first wife Nephele. The king's second wife, Ino, was jealous and wished to kill his children.",国王阿塔玛斯和妻子涅斐勒有一段不愉快的婚姻，于是另娶底比斯国王卡德摩斯之女伊诺为妻，可是伊诺虐待阿塔玛斯的孩子弗里克索斯。涅斐勒差遣金羊克律索马罗斯去救弗里克索斯，弗里克索斯因此获救并带着妹妹赫勒骑上金羊飞向东面的科尔基斯，弗里克索斯把金羊送给科尔基斯国王埃厄忒斯，埃厄忒斯也礼尚往来把女儿卡尔基奥佩赐予弗里克索斯。后来宙斯将金羊升到天上，便成为了白羊星座。,國王阿塔瑪斯和妻子涅斐勒有一段不愉快的婚姻，於是另娶底比斯國王卡德摩斯之女伊諾為妻，可是伊諾虐待阿塔瑪斯的孩子弗裏克索斯。涅斐勒差遣金羊克律索馬羅斯去救弗裏克索斯，弗裏克索斯因此獲救並帶著妹妹赫勒騎上金羊飛向東面的科爾基斯，弗裏克索斯把金羊送給科爾基斯國王埃厄忒斯，埃厄忒斯也禮尚往來把女兒卡爾基奧佩賜予弗裏克索斯。後來宙斯將金羊升到天上，便成為了白羊星座。,ギリシア神話によると、ボイオティア王アタマスの息子プリクソスと双子の妹ヘレが、継母イノの悪巧みによって生贄にされそうになったときに、ゼウスが遣わして二人を乗せて逃げた金の皮を持つ羊だという。プリクソスは逃亡先のコルキスでこの羊を生贄に捧げ、皮を当地の王アイエテスに贈った。（現代の観点からすると恩知らずな行為に見えるが、古代においては神の遣わした獣は生贄として神に返す風習だった）
LKCancerTitle,Cancer,巨蟹座,巨蟹座,かに座
LKCancerLatin,the Crab,Cancer,Cancer,Cancer
